analysis_id,quote_id,criterion,relevance_score,priority,confidence,relevance_explanation,deal_weighted_score,context_keywords,question_relevance,analysis_timestamp,client_id,processing_metadata,analysis_version,sentiment,is_high_relevance,is_deal_impacting,embedding,interview_id
22980,Ventura Law_Cathy Rafael_4_4,product_capability,3.0,medium,medium,Enhanced subject-driven: Subject-driven analysis for product_capability,2.64,,unrelated,2025-08-06T12:32:46.048503,Supio,{},1.0,neutral,False,False,,
22981,Ventura Law_Cathy Rafael_4_3,vendor_stability,2.0,low,medium,Enhanced subject-driven: Subject-driven analysis for vendor_stability,1.76,,unrelated,2025-08-06T12:32:46.293216,Supio,{},1.0,neutral,False,False,,
22982,Ventura Law_Cathy Rafael_4_2,implementation_onboarding,2.0,low,medium,Enhanced subject-driven: Subject-driven analysis for implementation_onboarding,1.76,,unrelated,2025-08-06T12:32:46.495135,Supio,{},1.0,positive,False,False,,
22983,Ventura Law_Cathy Rafael_3_6,market_position_reputation,3.0,medium,high,Enhanced subject-driven: Subject-driven analysis for market_position_reputation,2.97,,unrelated,2025-08-06T12:32:46.716389,Supio,{},1.0,neutral,False,False,,
22984,Ventura Law_Cathy Rafael_3_5,product_capability,2.0,low,high,Enhanced subject-driven: Subject-driven analysis for product_capability,2.2,,unrelated,2025-08-06T12:32:46.904219,Supio,{},1.0,positive,False,False,,
22985,Ventura Law_Cathy Rafael_3_4,implementation_onboarding,2.0,low,high,Enhanced subject-driven: Subject-driven analysis for implementation_onboarding,2.2,,unrelated,2025-08-06T12:32:47.184892,Supio,{},1.0,neutral,False,False,,
22986,Ventura Law_Cathy Rafael_3_3,implementation_onboarding,2.0,low,high,Enhanced subject-driven: Subject-driven analysis for implementation_onboarding,2.2,,unrelated,2025-08-06T12:32:47.408853,Supio,{},1.0,neutral,False,False,,
22987,Ventura Law_Cathy Rafael_3_1,product_capability,2.0,low,high,Enhanced subject-driven: Subject-driven analysis for product_capability,2.2,,unrelated,2025-08-06T12:32:47.633078,Supio,{},1.0,neutral,False,False,,
22988,Ventura Law_Cathy Rafael_2_5,commercial_terms,2.0,low,high,Enhanced subject-driven: Subject-driven analysis for commercial_terms,2.2,,unrelated,2025-08-06T12:32:47.820176,Supio,{},1.0,neutral,False,False,,
22989,Ventura Law_Cathy Rafael_2_4,product_capability,2.0,low,high,Enhanced subject-driven: Subject-driven analysis for product_capability,2.2,,unrelated,2025-08-06T12:32:48.00624,Supio,{},1.0,neutral,False,False,,
22990,Ventura Law_Cathy Rafael_2_3,commercial_terms,3.0,medium,high,Enhanced subject-driven: Subject-driven analysis for commercial_terms,3.3,cost,unrelated,2025-08-06T12:32:48.283568,Supio,{},1.0,neutral,False,False,,
22991,Ventura Law_Cathy Rafael_2_2,product_capability,2.0,low,high,Enhanced subject-driven: Subject-driven analysis for product_capability,2.2,,unrelated,2025-08-06T12:32:48.508437,Supio,{},1.0,positive,False,False,,
22992,Ventura Law_Cathy Rafael_1_8,product_capability,2.0,low,high,Enhanced subject-driven: Subject-driven analysis for product_capability,2.2,,unrelated,2025-08-06T12:32:48.717956,Supio,{},1.0,positive,False,False,,
22993,Ventura Law_Cathy Rafael_1_7,integration_technical_fit,3.0,medium,medium,Enhanced subject-driven: Subject-driven analysis for integration_technical_fit,2.64,connect,unrelated,2025-08-06T12:32:48.921882,Supio,{},1.0,neutral,False,False,,
22994,Ventura Law_Cathy Rafael_1_6,implementation_onboarding,2.0,low,high,Enhanced subject-driven: Subject-driven analysis for implementation_onboarding,2.16,,unrelated,2025-08-06T12:32:49.108231,Supio,{},1.0,negative,False,False,,
22995,Ventura Law_Cathy Rafael_1_5,product_capability,2.0,low,medium,Enhanced subject-driven: Subject-driven analysis for product_capability,1.76,,unrelated,2025-08-06T12:32:49.302007,Supio,{},1.0,positive,False,False,,
22996,Ventura Law_Cathy Rafael_1_4,product_capability,1.0,low,medium,Enhanced subject-driven: Subject-driven analysis for product_capability,0.88,,unrelated,2025-08-06T12:32:49.496516,Supio,{},1.0,neutral,False,False,,
22997,Ventura Law_Cathy Rafael_1_3,product_capability,2.0,low,medium,Enhanced subject-driven: Subject-driven analysis for product_capability,1.76,,unrelated,2025-08-06T12:32:49.732054,Supio,{},1.0,positive,False,False,,
22998,Ventura Law_Cathy Rafael_1_2,product_capability,2.0,low,medium,Enhanced subject-driven: Subject-driven analysis for product_capability,1.76,,unrelated,2025-08-06T12:32:49.927816,Supio,{},1.0,neutral,False,False,,
22999,Ventura Law_Cathy Rafael_1_1,product_capability,2.0,low,medium,Enhanced subject-driven: Subject-driven analysis for product_capability,1.76,,unrelated,2025-08-06T12:32:50.170694,Supio,{},1.0,neutral,False,False,,
